,mean_gain_share
rv_rank_1y,0.02424024898819336
vol_of_vol,0.024160268435215113
ret_kurt_96,0.022600388773925457
dist_month_open,0.022557024029792556
dist_r50,0.02218498594622544
atr96_p,0.021357417585216178
dist_pmh,0.020689926522216975
dist_pml,0.02038019688502068
ret_skew_96,0.020034506496440403
ret_480,0.020022806998705785
ret_autocorr1_96,0.019257672775908837
day_of_month,0.01843000362063032
dist_pwl,0.018236313690788705
var_ratio_4_96,0.01747179275110082
ret_skew_32,0.01738310123453725
days_since_event,0.017299576287905002
dist_pwh,0.017028498226068653
dist_week_open,0.01698127686719877
ret_192,0.01620173381534287
days_to_event,0.015770441442565945
month,0.015304270535578268
dist_r10,0.01440443435877383
lr_slope_96,0.014242162520147842
dist_ob_bear,0.01336943502927701
dist_ob_bull,0.012243216281989763
dist_r1,0.012147965084969885
hour_sin,0.012140289476050716
donch_width_96,0.011825507919642236
lr_r2_96,0.011227229779640477
dist_s1,0.010522136857549887
m1_imb_32,0.010412767194258831
dist_pdh,0.010409022501309668
ret_96,0.009774452432581428
day_range_atr,0.0097485126344105
compression_20,0.009641389836826667
park_20,0.009445697420894274
dist_day_open,0.009028364828054771
mins_since_ny_open,0.008971238394473238
bar_of_day,0.008900893240801653
hour_est,0.00883926889221676
dist_pdl,0.00844090055465836
hour_cos,0.008233386633214466
atr14_rank_1y,0.008213390061154055
rv_z_96,0.00799787124355104
adx14,0.007603028995485188
ema200_dist,0.007589972095058921
dist_pp,0.007560922514103669
donch_pos_96,0.007484014225601794
atr14_p,0.007386299772088666
dist_vwap_96,0.007376301980026057
dist_fvg_bear,0.007331258817118442
mins_to_ny_close,0.007170545070265177
dist_pdc,0.007152794224105853
ema200_slope,0.007119703566657661
rv_8,0.00709383475514019
dist_fvg_bull,0.007081827920229984
atr_ratio,0.006937558707762929
rsi14_z96,0.006924010993667682
dow,0.006790317740312846
bb_width,0.006767269172578042
adx14_l2,0.00662945536886445
donch_width_20,0.006591798863205106
dist_swing_high,0.006412659588008934
dist_day_high,0.006058015660041257
adx14_l1,0.005922512321610888
dist_day_low,0.005678509371814982
macd_n,0.005670834098966116
bars_since_bos,0.0051298176040779925
ret_32,0.004776232199671961
di_diff,0.004669520360064265
fvg_bear_32,0.004454064532215003
pos_in_day_range,0.004451783538116771
ema100_slope,0.004450747870241423
m1_imb_8,0.004332261029947214
dist_swing_low,0.004284470411988536
ema100_dist,0.004232869134421919
macd_hist_n,0.004216343691139003
dist_vwap_day,0.004073444961000497
lr_r2_20,0.003972976328266714
fvg_bull_32,0.003912858480938348
donch_pos_20,0.003906081162292665
vol_expansion,0.0036594026479455106
lr_slope_20,0.0036081068083680143
macd_hist_n_l2,0.0034462880532774814
aroon_up,0.003140274714481459
range_sum_z,0.0031070229688964267
ema50_slope,0.0031047790669376497
ema8_slope,0.0030882363067048233
macd_hist_slope,0.00300333716338228
rsi28,0.0029235113619346174
ret_8,0.002725064541354742
macd_hist_n_l1,0.0026902628206757163
rsi7,0.0026668587609375563
di_diff_l1,0.0026194017344269107
di_diff_l2,0.002614998738553762
stoch_d,0.002555853561700997
ema50_dist,0.002528825326070206
dist_vwap_day_l2,0.0024975711388689615
up_frac_20,0.0024857080132941194
aroon_dn,0.002475490661694684
vol_expansion_l2,0.002332867153387568
stoch_k,0.0023152082710107477
sma20_dist,0.002226892241991328
dist_vwap_day_l1,0.0022009433559928653
ema20_dist,0.0021239798321185566
rv_1,0.0020712563692943243
vol_expansion_l1,0.0020694485188824238
ema20_slope,0.002043706078081144
cci20,0.001984002300957457
ema8_dist,0.0018620670315132358
range_atr,0.00185414909340959
efficiency_8,0.0017258543130935734
absret_z,0.0016394607253442522
rsi14,0.0016380575530600832
ret_16,0.0016298194299888026
bb_pos,0.001578659539735699
willr14,0.0015530260104638402
ret_4,0.0014439515782380986
absret_z_l1,0.0013326987551554384
gap_atr_l2,0.0013172040494424085
range_atr_l1,0.001315634946179354
stoch_k_l2,0.0013108619765452108
bb_pos_l2,0.0012763354395327756
gap_atr,0.0012167330199602396
ret_2,0.0012146813449634387
range_atr_l2,0.0012017149726913788
absret_z_l2,0.0011870189704408544
stoch_k_l1,0.0011848342050699969
ret_z_96,0.001184527324350164
gap_atr_l1,0.001168404978380583
ema_ribbon,0.0010969279534858635
rsi14_l2,0.0009898405759588232
rsi14_l1,0.0009705089051946288
up_frac_8,0.0009618147032585985
sweep_high_8,0.0009469933316355486
is_friday_pm,0.0009366646323245742
bb_pos_l1,0.0009244342502930819
structure,0.0009242323538866496
is_sunday_open,0.0008917672670971846
dnwick_frac,0.0008739800396204612
ll,0.0008715936124676229
sweep_low_8,0.0008678572079149716
sess_london,0.0008431042578409977
efficiency_1,0.000781155677170899
efficiency_1_l1,0.000774779591148265
n_m1,0.0007704709285806539
close_pos,0.0007487536255068833
ret_z_16,0.0007325216604114192
efficiency_1_l2,0.0007261356265823813
upwick_frac,0.0007238412124216938
hh,0.0007200921320300266
close_pos_l2,0.0006755120088021811
kc_pos,0.0006598396389266203
ret_z_480,0.000613139869832697
body_frac,0.0005965372948834078
hrs_to_nfp,0.0005960789160967425
body_atr,0.0005877690613145003
close_pos_l1,0.0005803897140290672
body_atr_l1,0.0005163262511051838
ret_1,0.00048432774807214877
squeeze,0.0004348200888382035
ret_1_l2,0.00041891205658800497
last_bos_dir,0.00041472251664070636
ret_1_l1,0.00039577029802233623
hrs_to_fomc,0.0003883815973974477
m1_imb,0.00035638092049609336
body_atr_l2,0.0003400259532714526
m1_imb_l1,0.00030738122748822733
close_streak,0.00029556951133700635
sess_overlap,0.0002681216010017501
m1_imb_l2,0.00025351504327010283
sess_tokyo,0.0002526237409126998
is_830_window,0.00024019915534848627
div_rsi,0.00023959952830623026
up_frac_3,0.0001865936507923656
sess_ny,0.00014953435140677528
is_fomc_day,0.00014153523371966965
above_pdh,9.39060547208386e-05
is_nfp_day,8.347748403995527e-05
bos_up,3.552298854959168e-05
bar_gap_min,2.280792831565826e-05
is_london_open_hour,2.196654848454108e-05
sweep_low_l2,2.1620233468421655e-05
below_pdl,1.7852547904116375e-05
is_ny_open_hour,1.767430983184363e-05
sweep_high,1.4168826297344054e-05
sweep_low_l1,1.3945257053492091e-05
sweep_low,1.2849618672404736e-05
fvg_bear,1.2584064608121824e-05
is_1400_window,1.2185794988147133e-05
fvg_bull,5.5295507442381395e-06
bos_dn_l2,4.635887985017976e-06
bos_dn_l1,3.882720992500157e-06
sweep_high_l2,3.868135300933099e-06
is_1000_window,3.6831764913215605e-06
bos_up_l2,3.177150837348146e-06
inside_bar,2.9015259893223357e-06
engulf,2.4469323183856638e-06
outside_bar,1.3631001145739469e-06
sweep_high_l1,1.2132834865245981e-06
bos_dn,9.223017919217941e-07
choch,8.420733788709699e-07
weekend_gap_atr,0.0
after_gap,0.0
bos_up_l1,0.0
