,vif
dist_pp,1127699.280764429
dist_s1,718021.2375360291
kc_pos,640113.5972896452
ema20_dist,640113.5972870409
stoch_d,637841.6119852915
dist_pdh,573435.7355362118
stoch_k,543303.6669106573
dist_pdl,539605.3405821741
dist_r1,535352.7407978724
willr14,510911.68467532116
ema100_dist,500053.9321462136
ema50_dist,488247.91140444484
ema100_slope,464142.75824242964
ret_2,457181.7371854954
day_range_atr,430547.57283830247
structure,413520.32466803794
ema50_slope,411529.732574046
dist_day_low,352901.56282546563
ema20_slope,350553.4382515427
ema200_dist,339228.89313098876
ema200_slope,328098.87768381176
ema8_dist,316693.41297705815
dist_pdc,311587.1019112033
dist_day_high,285804.06830335344
macd_hist_n_l1,250007.204370129
ret_1,230476.1676626202
ret_1_l1,229436.84235084275
hh,180395.74008089607
ll,179455.33684861503
macd_hist_n,170956.83210641652
macd_hist_n_l2,163903.71093537004
ema8_slope,96531.3431184037
stoch_k_l2,83951.81153361345
stoch_k_l1,83840.10766762674
macd_hist_slope,12014.389149471957
body_frac,3298.7857562227127
body_atr,2533.1631811046286
dnwick_frac,2284.376593252335
upwick_frac,2239.9196025337224
adx14_l1,1321.9148860231533
rsi14,799.5068550487256
body_atr_l1,412.31377615257003
adx14,395.9949912117568
rsi14_l1,387.4980037755358
adx14_l2,381.27645600186617
macd_n,319.6127203392736
sma20_dist,292.13692497446607
dist_vwap_96,274.48207530528765
rsi28,227.3489443510351
rsi14_l2,216.62636659504966
rsi7,138.93508047632324
di_diff_l1,134.17732136925088
bb_pos,111.48204406803143
lr_slope_20,108.32756546753139
body_atr_l2,107.83295711368932
atr14_p,93.5116012719601
cci20,85.80635162225225
di_diff,83.3561660999105
di_diff_l2,80.529166059662
bb_pos_l1,69.02549292423342
compression_20,62.555196618249546
dist_vwap_day_l1,58.3929835718137
atr_ratio,56.302914035825864
dist_vwap_day,51.6842799082899
gap_atr,46.55974535158133
bb_pos_l2,36.390835641519836
park_20,34.27960309503798
dist_vwap_day_l2,32.371984728686584
lr_slope_96,32.358684593227004
ret_16,28.97991493519249
ret_z_480,28.84231182799578
dist_day_open,28.13972146419227
ret_z_16,28.106220138958903
ret_z_96,26.963129441196244
hrs_to_nfp,26.51994724749949
is_nfp_day,26.122277615120097
atr96_p,21.88329934739456
ret_96,21.013923629619743
donch_width_20,20.816491351817778
rsi14_z96,20.77813044135863
absret_z,20.08246059167278
donch_pos_20,18.92105830848675
rv_8,18.707750398101897
hour_cos,18.38184031388903
ret_32,18.3374683297244
sess_ny,18.267211602188354
range_sum_z,17.556898399091647
ret_8,15.955606599376884
ret_4,15.610180808238061
rv_z_96,14.016258744032495
ret_1_l2,13.663003639769004
vol_expansion_l1,12.909405342658914
atr14_rank_1y,12.843274639738091
hrs_to_fomc,12.219562413537322
is_fomc_day,12.10711393550976
bar_of_day,11.624133724780144
close_pos,11.516036797019657
bb_width,11.45763829865629
donch_pos_96,11.219236261865975
sess_london,10.94147555875254
pos_in_day_range,10.100445438769647
gap_atr_l1,10.095932812820422
rv_1,10.066393471390985
vol_expansion,10.027296228344493
hour_sin,9.95709258726595
mins_to_ny_close,8.622906195121455
sess_tokyo,7.598128230667157
donch_width_96,7.585480992810811
range_atr,7.372786637118666
absret_z_l1,7.323536412673046
vol_expansion_l2,7.218131125053331
absret_z_l2,7.118492190861457
sess_overlap,7.050043921717492
efficiency_1,6.877779384848964
mins_since_ny_open,6.4761672522987945
ema_ribbon,6.352649698784172
ret_192,6.21781309565669
dist_pwl,5.9872720143989815
up_frac_3,5.943588051438994
range_atr_l1,5.782673863937054
rv_rank_1y,5.601032477638597
dist_swing_high,5.174563619621535
range_atr_l2,5.067042799749233
dist_pwh,5.0095019021273695
close_streak,4.933397461971126
dist_swing_low,4.543679650157481
close_pos_l1,4.510874500227296
dist_pml,4.165589396418149
up_frac_8,4.100630222823652
gap_atr_l2,3.8192648635678443
ret_480,3.7766552623088034
close_pos_l2,3.516797581037748
dist_week_open,3.453623402821396
hour_est,3.373168669896022
vol_of_vol,3.3407352272467667
dist_fvg_bull,3.188995533145927
is_ny_open_hour,3.1887066931063637
aroon_dn,3.183955816540717
last_bos_dir,3.166891078471423
aroon_up,3.0936694411787276
var_ratio_4_96,3.0581225466344906
dist_fvg_bear,3.002011288790056
dist_month_open,2.901146146486843
dist_ob_bear,2.89517633353285
dist_pmh,2.8910217288757996
dist_ob_bull,2.823751553518018
up_frac_20,2.823184101896287
m1_imb_8,2.758269246467518
below_pdl,2.6918745302881275
ret_autocorr1_96,2.6752801398067927
above_pdh,2.6169013143811077
ret_kurt_96,2.5826619183783674
ret_skew_96,2.565615928650443
ret_skew_32,2.5586856925996337
weekend_gap_atr,2.5506588086682425
bar_gap_min,2.38048907774707
sweep_low_8,2.307483027731928
lr_r2_20,2.26499847612294
sweep_high_8,2.2581504404395623
m1_imb,2.1993601663310183
bos_dn,2.1441423336350725
efficiency_1_l1,2.140134817545819
fvg_bull_32,2.1276807659525354
fvg_bear_32,2.1215866839827675
fvg_bull,2.1167224181635893
m1_imb_l2,2.1133243877760735
m1_imb_l1,2.108279695348181
bos_up,2.1016180460452207
fvg_bear,2.0435584298593863
is_1000_window,2.025253751499308
n_m1,2.024828830367262
is_london_open_hour,1.9634934485817261
lr_r2_96,1.89658085357953
bars_since_bos,1.885940000378474
efficiency_8,1.869570684105497
squeeze,1.8469699466855865
choch,1.8435988101555145
is_830_window,1.8425511650412676
efficiency_1_l2,1.7473475564774106
m1_imb_32,1.7426242720807155
bos_up_l1,1.7145785140543874
bos_dn_l1,1.6727529592130606
after_gap,1.603949112318322
days_to_event,1.5963915838626697
div_rsi,1.578406213975097
is_sunday_open,1.5606616507804052
bos_dn_l2,1.4972456949870092
dow,1.4926437630299052
sweep_high_l2,1.486628971587408
sweep_low_l2,1.4853864200367277
sweep_low_l1,1.4804023475103172
bos_up_l2,1.475303780215021
sweep_high_l1,1.4744161244326173
is_friday_pm,1.4708265701443417
days_since_event,1.4573280674648066
sweep_low,1.3977604893933366
sweep_high,1.3843359051124142
engulf,1.3481706136192457
inside_bar,1.2913612647053196
day_of_month,1.2376696891387493
is_1400_window,1.2065159200634303
outside_bar,1.1520877664724822
month,1.0955673818551062
dist_r50,1.0904235279052572
dist_r10,1.0690180061361412
